feature,gain
lawsuit_weighted_severity,39.50794219970703
lawsuit_total_amount,12.638315200805664
revenue_growth,12.314567565917969
risklevel_1,10.778958320617676
profit_1,8.35938549041748
trade_credit_power,6.527896881103516
risklevel_2,6.277698993682861
scf_ar_ratio,6.207330226898193
scf_overview_flag,5.99332857131958
scf_stats_flag,5.853834629058838
scf_ap_ratio,5.705530643463135
solvency_2,5.600254058837891
scf_ar_avg_amount,5.526603698730469
solvency_1,5.526176929473877
scf_ap_avg_amount,5.354132175445557
trade_credit_days,4.9939470291137695
scf_credit_flag,4.855841636657715
