"Stkcd","Reptdt","S0701a","S0702a","S0701b","S0704c"
"000002","2024-12-31","1","0","0",""
"000002","2024-12-31","2","深圳市地铁集团有限公司","深圳市人民政府国有资产监督管理委员会","27.1800"
"000002","2025-12-31","1","0","0",""
"000002","2025-12-31","2","深圳市地铁集团有限公司","深圳市人民政府国有资产监督管理委员会","27.1800"
"000004","2024-12-31","1","深圳中农大科技投资有限公司","李映彤,李琛森姐弟","24.8400"
"000004","2024-12-31","2","深圳中农大科技投资有限公司,李映彤,深圳市睿鸿置业发展有限公司,珠海横琴普源科技合伙企业(有限合伙)","李琛森","5.5600"
"000004","2024-12-31","2","深圳中农大科技投资有限公司,李映彤,深圳市睿鸿置业发展有限公司,珠海横琴普源科技合伙企业(有限合伙)","李映彤","19.2800"
"000004","2025-12-31","1","深圳中农大科技投资有限公司","李映彤,李琛森姐弟","24.8400"
"000004","2025-12-31","2","深圳中农大科技投资有限公司,李映彤,深圳市睿鸿置业发展有限公司,珠海横琴普源科技合伙企业(有限合伙)","李琛森","5.5600"
"000004","2025-12-31","2","深圳中农大科技投资有限公司,李映彤,深圳市睿鸿置业发展有限公司,珠海横琴普源科技合伙企业(有限合伙)","李映彤","19.2800"
"000006","2024-12-31","1","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","36.9900"
"000006","2024-12-31","2","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","36.9900"
"000006","2025-12-31","1","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","36.9900"
"000006","2025-12-31","2","深圳市人民政府国有资产监督管理委员会","深圳市人民政府国有资产监督管理委员会","36.9900"
"000007","2024-12-31","0","0","0",""
"000007","2025-12-31","0","0","0",""
"000008","2024-12-31","1","中国国投高新产业投资有限公司","国家开发投资集团有限公司","26.2300"
"000008","2024-12-31","2","中国国投高新产业投资有限公司","国家开发投资集团有限公司","26.2300"
"000008","2025-12-31","2","中国国投高新产业投资有限公司","国家开发投资集团有限公司","26.2300"
"000008","2025-12-31","1","中国国投高新产业投资有限公司","国家开发投资集团有限公司","26.2300"
"000009","2024-12-31","0","0","0",""
"000009","2025-12-31","0","0","0",""
"000011","2024-12-31","1","深圳市投资控股有限公司","深圳市人民政府国有资产监督管理委员会","57.2500"
"000011","2024-12-31","2","深圳市投资控股有限公司","深圳市人民政府国有资产监督管理委员会","57.2500"
"000011","2025-12-31","1","深圳市投资控股有限公司","深圳市人民政府国有资产监督管理委员会","57.2500"
"000011","2025-12-31","2","深圳市投资控股有限公司","深圳市人民政府国有资产监督管理委员会","57.2500"
"000012","2024-12-31","1","0","0",""
"000012","2024-12-31","2","前海人寿保险股份有限公司,深圳市冠隆物流有限公司,中山润田投资有限公司","姚振华","22.0352"
"000012","2025-12-31","1","0","0",""
"000012","2025-12-31","2","前海人寿保险股份有限公司,深圳市冠隆物流有限公司,中山润田投资有限公司","姚振华","21.4153"
"000014","2024-12-31","2","深业沙河(集团)有限公司","深圳市人民政府国有资产监督管理委员会","34.0200"
"000014","2024-12-31","1","深业沙河(集团)有限公司","深圳市人民政府国有资产监督管理委员会","34.0200"
