"Stkcd","ShortName","Accper","Typrep","Source","F010101A","F010701B","F011201A"
"000002","万科A","2019-12-31","A","0","1.130738","14.343805","0.843590"
"000002","万科A","2019-12-31","B","0","1.648602","14.415378","0.752091"
"000002","万科A","2020-03-31","A","0","1.145731","3.122094","0.842446"
"000002","万科A","2020-03-31","B","0","1.677891","0.329035","0.770100"
"000002","万科A","2020-06-30","A","0","1.147161","8.993151","0.838745"
"000002","万科A","2020-06-30","B","0","1.797292","15.495257","0.718746"
"000002","万科A","2020-09-30","A","0","1.141408","9.721127","0.833206"
"000002","万科A","2020-09-30","B","0","1.906179","10.024673","0.692046"
"000002","万科A","2020-12-31","A","0","1.174494","16.485746","0.812835"
"000002","万科A","2020-12-31","B","0","1.850181","7.815445","0.693963"
"000002","万科A","2021-03-31","A","0","1.176263","3.585847","0.813701"
"000002","万科A","2021-03-31","B","0","1.889512","1.100931","0.694166"
"000002","万科A","2021-06-30","A","0","1.182060","13.637796","0.813958"
"000002","万科A","2021-06-30","B","0","1.859024","15.730511","0.695404"
"000002","万科A","2021-09-30","A","0","1.186482","10.936196","0.809429"
"000002","万科A","2021-12-31","A","0","1.220232","12.912575","0.797398"
"000002","万科A","2021-12-31","B","0","2.031296","10.579595","0.689691"
"000002","万科A","2022-03-31","A","0","1.233790","3.954879","0.798030"
"000002","万科A","2022-06-30","A","0","1.236665","109.880821","0.791556"
"000002","万科A","2022-06-30","B","0","1.955250","17.503827","0.706228"
"000002","万科A","2022-09-30","A","0","1.268682","32.442029","0.778477"
"000002","万科A","2022-12-31","A","0","1.313188","21.031619","0.769515"
"000002","万科A","2022-12-31","B","0","2.193623","12.720452","0.706857"
"000002","万科A","2023-03-31","A","0","1.321966","4.421469","0.771952"
"000002","万科A","2023-06-30","A","0","1.349457","9.601411","0.760928"
"000002","万科A","2023-06-30","B","0","2.455704","12.589560","0.684060"
"000002","万科A","2023-09-30","A","0","1.371164","11.375286","0.752762"
"000002","万科A","2023-12-31","A","0","1.399709","9.023372","0.732243"
"000002","万科A","2023-12-31","B","0","2.285952","5.329262","0.678277"
"000002","万科A","2024-03-31","A","0","1.384730","1.640297","0.727070"
"000002","万科A","2024-06-30","A","0","1.370998","-2.654372","0.729370"
"000002","万科A","2024-06-30","B","0","2.211542","5.721638","0.660532"
"000002","万科A","2024-09-30","A","0","1.353534","-2.933810","0.724164"
"000002","万科A","2024-12-31","A","0","1.275985","-6.945556","0.736558"
"000002","万科A","2024-12-31","B","0","1.743357","-4.563966","0.691585"
"000002","万科A","2025-03-31","A","0","1.303409","-2.315740","0.734756"
"000002","万科A","2025-06-30","A","0","1.308632","-1.663951","0.731055"
"000002","万科A","2025-06-30","B","0","1.873284","8.203786","0.669719"
"000002","万科A","2025-09-30","A","0","1.305649","-4.089218","0.735147"
"000002","万科A","2025-12-31","A","0","1.233858","-8.751976","0.768906"
"000002","万科A","2025-12-31","B","0","1.791405","-7.662447","0.741512"
"000002","万科A","2026-03-31","A","0","1.219418","-1.574103","0.771345"
"000004","国农科技","2019-12-31","A","0","5.621300","","0.060243"
"000004","国农科技","2019-12-31","B","0","5.195565","","0.015353"
"000004","国农科技","2020-03-31","A","0","7.459673","","0.045021"
"000004","国农科技","2020-03-31","B","0","6.866218","","0.011320"
"000004","国农科技","2020-06-30","A","0","6.875429","","0.048480"
"000004","国农科技","2020-06-30","B","0","5.167882","","0.015265"
"000004","国农科技","2020-09-30","A","0","6.394298","","0.055939"
"000004","国农科技","2020-09-30","B","0","5.142444","","0.015286"
"000004","国华网安","2020-12-31","A","0","5.195587","","0.068264"
"000004","国华网安","2020-12-31","B","0","6.560234","","0.012586"
"000004","国华网安","2021-03-31","A","0","4.778814","262.376477","0.074966"
"000004","国华网安","2021-03-31","B","0","6.478451","","0.012455"
"000004","国华网安","2021-06-30","A","0","5.797057","","0.059888"
"000004","国华网安","2021-06-30","B","0","6.365971","","0.012462"
"000004","国华网安","2021-09-30","A","0","4.437539","","0.081821"
"000004","国华网安","2021-12-31","A","0","3.934657","","0.146164"
"000004","国华网安","2021-12-31","B","0","5.614926","","0.014164"
"000004","国华网安","2022-03-31","A","0","4.179407","","0.134371"
"000004","ST 国华","2022-06-30","A","0","4.382378","","0.123478"
"000004","ST 国华","2022-06-30","B","0","5.640381","","0.011753"
"000004","ST 国华","2022-09-30","A","0","3.486472","","0.154579"
"000004","ST 国华","2022-12-31","A","0","2.412154","","0.387338"
"000004","ST 国华","2022-12-31","B","0","5.544843","","0.014289"
"000004","ST 国华","2023-03-31","A","0","2.561983","","0.355774"
"000004","国华网安","2023-06-30","A","0","2.482246","","0.362785"
"000004","国华网安","2023-06-30","B","0","4.858812","","0.011496"
"000004","国华网安","2023-09-30","A","0","2.408494","","0.367159"
"000004","国华网安","2023-12-31","A","0","1.662986","","0.531094"
"000004","国华网安","2023-12-31","B","0","4.598490","","0.021866"
"000004","国华网安","2024-03-31","A","0","1.579583","","0.547430"
"000004","国华网安","2024-06-30","A","0","1.530858","","0.560186"
"000004","国华网安","2024-06-30","B","0","4.121436","","0.021893"
"000004","国华网安","2024-09-30","A","0","1.424678","","0.592518"
