"Stkcd","ShortName","Accper","Typrep","Source","F060101B"
"000002","万科A","2019-12-31","A","0","0.828686"
"000002","万科A","2019-12-31","B","0","-0.370683"
"000002","万科A","2020-03-31","A","0","-1.215444"
"000002","万科A","2020-03-31","B","0",""
"000002","万科A","2020-06-30","A","0","1.213470"
"000002","万科A","2020-06-30","B","0","0.609030"
"000002","万科A","2020-09-30","A","0","1.110048"
"000002","万科A","2020-09-30","B","0","0.946107"
"000002","万科A","2020-12-31","A","0","0.896960"
"000002","万科A","2020-12-31","B","0","1.064577"
"000002","万科A","2021-03-31","A","0","6.732786"
"000002","万科A","2021-03-31","B","0","186.122991"
"000002","万科A","2021-06-30","A","0","0.419300"
"000002","万科A","2021-06-30","B","0","-0.092890"
"000002","万科A","2021-09-30","A","0","0.049572"
"000002","万科A","2021-12-31","A","0","0.108043"
"000002","万科A","2021-12-31","B","0","-0.793374"
"000002","万科A","2022-03-31","A","0","-4.757519"
"000002","万科A","2022-06-30","A","0","0.457832"
"000002","万科A","2022-06-30","B","0","-0.437820"
"000002","万科A","2022-09-30","A","0","-0.153267"
"000002","万科A","2022-12-31","A","0","0.073246"
"000002","万科A","2022-12-31","B","0","-1.369838"
"000002","万科A","2023-03-31","A","0","2.470716"
"000002","万科A","2023-06-30","A","0","0.122921"
"000002","万科A","2023-06-30","B","0","0.101409"
"000002","万科A","2023-09-30","A","0","0.011191"
"000002","万科A","2023-12-31","A","0","0.191260"
"000002","万科A","2023-12-31","B","0","-0.236739"
"000002","万科A","2024-03-31","A","0","-28.438557"
"000002","万科A","2024-06-30","A","0",""
"000002","万科A","2024-06-30","B","0","-2.984751"
"000002","万科A","2024-09-30","A","0",""
"000002","万科A","2024-12-31","A","0",""
"000002","万科A","2024-12-31","B","0",""
"000002","万科A","2025-03-31","A","0",""
"000002","万科A","2025-06-30","A","0",""
"000002","万科A","2025-06-30","B","0","0.243846"
"000002","万科A","2025-09-30","A","0",""
"000002","万科A","2025-12-31","A","0",""
"000002","万科A","2025-12-31","B","0",""
"000002","万科A","2026-03-31","A","0",""
"000004","国农科技","2019-12-31","A","0",""
"000004","国农科技","2019-12-31","B","0","0.526893"
"000004","国农科技","2020-03-31","A","0","-10.612580"
"000004","国农科技","2020-03-31","B","0",""
"000004","国农科技","2020-06-30","A","0","-17.092778"
"000004","国农科技","2020-06-30","B","0",""
"000004","国农科技","2020-09-30","A","0","-0.976545"
"000004","国农科技","2020-09-30","B","0",""
"000004","国华网安","2020-12-31","A","0","0.064106"
"000004","国华网安","2020-12-31","B","0",""
"000004","国华网安","2021-03-31","A","0","-9.363488"
"000004","国华网安","2021-03-31","B","0",""
"000004","国华网安","2021-06-30","A","0","-5.754828"
"000004","国华网安","2021-06-30","B","0",""
"000004","国华网安","2021-09-30","A","0","-1.591437"
"000004","国华网安","2021-12-31","A","0",""
"000004","国华网安","2021-12-31","B","0",""
"000004","国华网安","2022-03-31","A","0",""
"000004","ST 国华","2022-06-30","A","0",""
"000004","ST 国华","2022-06-30","B","0",""
"000004","ST 国华","2022-09-30","A","0",""
"000004","ST 国华","2022-12-31","A","0",""
"000004","ST 国华","2022-12-31","B","0",""
"000004","ST 国华","2023-03-31","A","0",""
"000004","国华网安","2023-06-30","A","0",""
"000004","国华网安","2023-06-30","B","0",""
"000004","国华网安","2023-09-30","A","0",""
"000004","国华网安","2023-12-31","A","0",""
"000004","国华网安","2023-12-31","B","0",""
"000004","国华网安","2024-03-31","A","0",""
"000004","国华网安","2024-06-30","A","0",""
"000004","国华网安","2024-06-30","B","0",""
"000004","国华网安","2024-09-30","A","0",""
"000004","国华网安","2024-12-31","A","0",""
"000004","国华网安","2024-12-31","B","0",""
"000004","国华网安","2025-03-31","A","0",""
"000004","*ST 国华","2025-06-30","A","0",""
"000004","*ST 国华","2025-06-30","B","0",""
"000004","*ST 国华","2025-09-30","A","0",""
"000004","*ST 国华","2025-12-31","A","0","2.045962"
"000004","*ST 国华","2025-12-31","B","0",""
"000004","*ST 国华","2026-03-31","A","0",""
"000006","深振业A","2019-12-31","A","0","-0.230417"
"000006","深振业A","2019-12-31","B","0","-0.132676"
"000006","深振业A","2020-03-31","A","0","-1.763666"
"000006","深振业A","2020-03-31","B","0",""
"000006","深振业A","2020-06-30","A","0","-1.013308"
"000006","深振业A","2020-06-30","B","0",""
"000006","深振业A","2020-09-30","A","0","-0.083605"
"000006","深振业A","2020-09-30","B","0","4.456066"
"000006","深振业A","2020-12-31","A","0","-0.185521"
"000006","深振业A","2020-12-31","B","0","2.820841"
"000006","深振业A","2021-03-31","A","0","1.089194"
"000006","深振业A","2021-03-31","B","0","42.146993"
"000006","深振业A","2021-06-30","A","0","-8.711212"
"000006","深振业A","2021-06-30","B","0","-2.327697"
"000006","深振业A","2021-09-30","A","0","-6.264287"
"000006","深振业A","2021-12-31","A","0","-7.000425"
"000006","深振业A","2021-12-31","B","0","-1.939976"
"000006","深振业A","2022-03-31","A","0","-2.713682"
"000006","深振业A","2022-06-30","A","0","1.008538"
"000006","深振业A","2022-06-30","B","0","0.478949"
"000006","深振业A","2022-09-30","A","0","5.876185"
"000006","深振业A","2022-12-31","A","0","5.167964"
"000006","深振业A","2022-12-31","B","0","-1.664176"
"000006","深振业A","2023-03-31","A","0",""
"000006","深振业A","2023-06-30","A","0","-64.875934"
"000006","深振业A","2023-06-30","B","0","-1.474607"
"000006","深振业A","2023-09-30","A","0",""
"000006","深振业A","2023-12-31","A","0",""
"000006","深振业A","2023-12-31","B","0",""
"000006","深振业A","2024-03-31","A","0",""
"000006","深振业A","2024-06-30","A","0",""
"000006","深振业A","2024-06-30","B","0",""
"000006","深振业A","2024-09-30","A","0",""
"000006","深振业A","2024-12-31","A","0",""
"000006","深振业A","2024-12-31","B","0",""
"000006","深振业A","2025-03-31","A","0",""
"000006","深振业A","2025-06-30","A","0",""
"000006","深振业A","2025-06-30","B","0",""
"000006","深振业A","2025-09-30","A","0","58.451648"
"000006","深振业A","2025-12-31","A","0",""
"000006","深振业A","2025-12-31","B","0",""
"000006","深振业A","2026-03-31","A","0","12.615940"
"000007","全新好","2019-12-31","A","0","-1.430486"
"000007","全新好","2019-12-31","B","0",""
"000007","全新好","2020-03-31","A","0",""
"000007","全新好","2020-03-31","B","0",""
"000007","全新好","2020-06-30","A","0",""
"000007","全新好","2020-06-30","B","0","3.105807"
"000007","全新好","2020-09-30","A","0",""
"000007","全新好","2020-09-30","B","0","0.004513"
"000007","全新好","2020-12-31","A","0",""
"000007","全新好","2020-12-31","B","0",""
"000007","全新好","2021-03-31","A","0",""
"000007","全新好","2021-03-31","B","0","0.131806"
"000007","*ST 全新","2021-06-30","A","0",""
"000007","*ST 全新","2021-06-30","B","0",""
"000007","*ST 全新","2021-09-30","A","0",""
"000007","*ST 全新","2021-12-31","A","0","-1.207132"
"000007","*ST 全新","2021-12-31","B","0","-0.791836"
"000007","*ST 全新","2022-03-31","A","0",""
"000007","*ST 全新","2022-06-30","A","0",""
"000007","*ST 全新","2022-06-30","B","0",""
"000007","全新好","2022-09-30","A","0",""
"000007","全新好","2022-12-31","A","0",""
"000007","全新好","2022-12-31","B","0",""
"000007","全新好","2023-03-31","A","0",""
"000007","*ST 全新","2023-06-30","A","0","8.984918"
"000007","*ST 全新","2023-06-30","B","0","-0.003005"
"000007","*ST 全新","2023-09-30","A","0","15.279496"
"000007","*ST 全新","2023-12-31","A","0","5.222601"
"000007","*ST 全新","2023-12-31","B","0","-0.000489"
"000007","*ST 全新","2024-03-31","A","0","72.604086"
"000007","*ST 全新","2024-06-30","A","0","22.629223"
"000007","*ST 全新","2024-06-30","B","0","0.001578"
"000007","全新好","2024-09-30","A","0","12.555287"
"000007","全新好","2024-12-31","A","0","3.541116"
"000007","全新好","2024-12-31","B","0","-0.186540"
"000007","全新好","2025-03-31","A","0","58.198267"
"000007","全新好","2025-06-30","A","0","61.579806"
"000007","全新好","2025-06-30","B","0","-0.002546"
"000007","全新好","2025-09-30","A","0","115.138403"
"000007","全新好","2025-12-31","A","0","573.680850"
"000007","全新好","2025-12-31","B","0",""
"000007","全新好","2026-03-31","A","0",""
"000008","神州高铁","2019-12-31","A","0","0.011629"
"000008","神州高铁","2019-12-31","B","0","7.625789"
"000008","神州高铁","2020-03-31","A","0",""
