"Stkcd","ShortName","Accper","Typrep","Source","F050202B","F050502B"
"000002","万科A","2019-12-31","A","0","0.033839","0.217825"
"000002","万科A","2019-12-31","B","0","0.079749","0.377282"
"000002","万科A","2020-03-31","A","0","0.001401","0.008924"
"000002","万科A","2020-03-31","B","0","-0.001617","-0.006776"
"000002","万科A","2020-06-30","A","0","0.010537","0.066316"
"000002","万科A","2020-06-30","B","0","0.085449","0.321331"
"000002","万科A","2020-09-30","A","0","0.016969","0.104921"
"000002","万科A","2020-09-30","B","0","0.089383","0.320399"
"000002","万科A","2020-12-31","A","0","0.032952","0.191154"
"000002","万科A","2020-12-31","B","0","0.088220","0.317306"
"000002","万科A","2021-03-31","A","0","0.001328","0.007109"
"000002","万科A","2021-03-31","B","0","0.000136","0.000444"
"000002","万科A","2021-06-30","A","0","0.008458","0.045332"
"000002","万科A","2021-06-30","B","0","0.042640","0.139666"
"000002","万科A","2021-09-30","A","0","0.012826","0.067895"
"000002","万科A","2021-12-31","A","0","0.019995","0.102528"
"000002","万科A","2021-12-31","B","0","0.050383","0.163460"
"000002","万科A","2022-03-31","A","0","0.001434","0.007091"
"000002","万科A","2022-06-30","A","0","0.009483","0.046152"
"000002","万科A","2022-06-30","B","0","0.027651","0.091632"
"000002","万科A","2022-09-30","A","0","0.014449","0.068219"
"000002","万科A","2022-12-31","A","0","0.020321","0.094140"
"000002","万科A","2022-12-31","B","0","0.027636","0.091684"
"000002","万科A","2023-03-31","A","0","0.001619","0.007057"
"000002","万科A","2023-06-30","A","0","0.008814","0.037532"
"000002","万科A","2023-06-30","B","0","0.029904","0.098203"
"000002","万科A","2023-09-30","A","0","0.012353","0.051743"
"000002","万科A","2023-12-31","A","0","0.012539","0.050597"
"000002","万科A","2023-12-31","B","0","0.028655","0.093267"
"000002","万科A","2024-03-31","A","0","0.000223","0.000826"
"000002","万科A","2024-06-30","A","0","-0.005821","-0.021627"
"000002","万科A","2024-06-30","B","0","0.011796","0.035689"
"000002","万科A","2024-09-30","A","0","-0.011459","-0.042193"
"000002","万科A","2024-12-31","A","0","-0.034899","-0.131315"
"000002","万科A","2024-12-31","B","0","-0.034880","-0.110626"
"000002","万科A","2025-03-31","A","0","-0.005071","-0.019183"
"000002","万科A","2025-06-30","A","0","-0.008761","-0.032923"
"000002","万科A","2025-06-30","B","0","0.028091","0.087931"
"000002","万科A","2025-09-30","A","0","-0.023309","-0.088255"
"000002","万科A","2025-12-31","A","0","-0.079597","-0.319498"
"000002","万科A","2025-12-31","B","0","-0.081001","-0.284440"
"000002","万科A","2026-03-31","A","0","-0.006037","-0.026261"
"000004","国农科技","2019-12-31","A","0","-0.003905","-0.004540"
"000004","国农科技","2019-12-31","B","0","0.036863","0.038743"
"000004","国农科技","2020-03-31","A","0","0.002406","0.002540"
"000004","国农科技","2020-03-31","B","0","-0.000883","-0.000895"
"000004","国农科技","2020-06-30","A","0","0.001406","0.001487"
"000004","国农科技","2020-06-30","B","0","-0.002567","-0.002607"
"000004","国农科技","2020-09-30","A","0","0.036047","0.038268"
"000004","国农科技","2020-09-30","B","0","-0.002884","-0.002929"
"000004","国华网安","2020-12-31","A","0","0.040542","0.043330"
"000004","国华网安","2020-12-31","B","0","-0.010036","-0.010179"
"000004","国华网安","2021-03-31","A","0","0.002736","0.002947"
"000004","国华网安","2021-03-31","B","0","-0.001847","-0.001871"
"000004","国华网安","2021-06-30","A","0","0.003931","0.004200"
"000004","国华网安","2021-06-30","B","0","-0.003239","-0.003280"
"000004","国华网安","2021-09-30","A","0","0.021310","0.023042"
"000004","国华网安","2021-12-31","A","0","-0.380366","-0.422918"
"000004","国华网安","2021-12-31","B","0","-0.008612","-0.008729"
"000004","国华网安","2022-03-31","A","0","-0.011818","-0.013747"
"000004","ST 国华","2022-06-30","A","0","-0.033455","-0.038684"
"000004","ST 国华","2022-06-30","B","0","-0.004203","-0.004258"
"000004","ST 国华","2022-09-30","A","0","-0.053397","-0.062839"
"000004","ST 国华","2022-12-31","A","0","-0.706958","-0.916310"
"000004","ST 国华","2022-12-31","B","0","-0.015138","-0.015357"
"000004","ST 国华","2023-03-31","A","0","-0.013785","-0.021956"
"000004","国华网安","2023-06-30","A","0","-0.052170","-0.083579"
"000004","国华网安","2023-06-30","B","0","-0.003745","-0.003794"
"000004","国华网安","2023-09-30","A","0","-0.066934","-0.107601"
"000004","国华网安","2023-12-31","A","0","-0.323428","-0.586055"
"000004","国华网安","2023-12-31","B","0","-0.016093","-0.016389"
"000004","国华网安","2024-03-31","A","0","-0.027478","-0.059626"
"000004","国华网安","2024-06-30","A","0","-0.049016","-0.107807"
"000004","国华网安","2024-06-30","B","0","-0.004160","-0.004253"
"000004","国华网安","2024-09-30","A","0","-0.093677","-0.213239"
"000004","国华网安","2024-12-31","A","0","-0.378710","-1.028685"
"000004","国华网安","2024-12-31","B","0","-0.017666","-0.018135"
"000004","国华网安","2025-03-31","A","0","-0.040826","-0.182267"
"000004","*ST 国华","2025-06-30","A","0","-0.149225","-0.851066"
"000004","*ST 国华","2025-06-30","B","0","-0.013565","-0.014052"
"000004","*ST 国华","2025-09-30","A","0","-0.120020","-0.585727"
"000004","*ST 国华","2025-12-31","A","0","0.040823","0.153331"
"000004","*ST 国华","2025-12-31","B","0","-0.008366","-0.008696"
"000004","*ST 国华","2026-03-31","A","0","-0.010487","-0.033786"
"000006","深振业A","2019-12-31","A","0","0.057582","0.124379"
"000006","深振业A","2019-12-31","B","0","0.114989","0.232334"
"000006","深振业A","2020-03-31","A","0","0.009050","0.019420"
"000006","深振业A","2020-03-31","B","0","-0.002294","-0.004567"
"000006","深振业A","2020-06-30","A","0","0.015097","0.032343"
"000006","深振业A","2020-06-30","B","0","-0.004086","-0.008192"
