"Stkcd","ShortName","Accper","Typrep","Source","F040202B","F040802B"
"000002","万科A","2019-12-31","A","0","205.857569","0.947244"
"000002","万科A","2019-12-31","B","0","","0.176877"
"000002","万科A","2020-03-31","A","0","20.701301","0.127096"
"000002","万科A","2020-03-31","B","0","","0.826816"
"000002","万科A","2020-06-30","A","0","63.240573","0.374594"
"000002","万科A","2020-06-30","B","0","","1.762654"
"000002","万科A","2020-09-30","A","0","103.493511","0.626776"
"000002","万科A","2020-09-30","B","0","","1.968023"
"000002","万科A","2020-12-31","A","0","168.301078","1.053495"
"000002","万科A","2020-12-31","B","0","","2.339257"
"000002","万科A","2021-03-31","A","0","19.715230","0.169250"
"000002","万科A","2021-03-31","B","0","","0.211061"
"000002","万科A","2021-06-30","A","0","49.806807","0.427303"
"000002","万科A","2021-06-30","B","0","","0.204586"
"000002","万科A","2021-09-30","A","0","69.597577","0.696271"
"000002","万科A","2021-12-31","A","0","117.062199","1.130745"
"000002","万科A","2021-12-31","B","0","","0.266998"
"000002","万科A","2022-03-31","A","0","11.746304","0.160525"
"000002","万科A","2022-06-30","A","0","36.732834","0.513401"
"000002","万科A","2022-06-30","B","0","","0.002031"
"000002","万科A","2022-09-30","A","0","53.913494","0.861364"
"000002","万科A","2022-12-31","A","0","82.270815","1.308267"
"000002","万科A","2022-12-31","B","0","","0.004082"
"000002","万科A","2023-03-31","A","0","8.504683","0.212036"
"000002","万科A","2023-06-30","A","0","24.195612","0.594707"
"000002","万科A","2023-06-30","B","0","","0.017268"
"000002","万科A","2023-09-30","A","0","34.402058","0.889228"
"000002","万科A","2023-12-31","A","0","62.944856","1.545431"
"000002","万科A","2023-12-31","B","0","",""
"000002","万科A","2024-03-31","A","0","7.666317","0.259894"
"000002","万科A","2024-06-30","A","0","16.953737","0.632333"
"000002","万科A","2024-06-30","B","0","","0.001610"
"000002","万科A","2024-09-30","A","0","25.718027","1.005419"
"000002","万科A","2024-12-31","A","0","44.555677","1.615131"
"000002","万科A","2024-12-31","B","0","","0.001373"
"000002","万科A","2025-03-31","A","0","4.393429","0.241896"
"000002","万科A","2025-06-30","A","0","12.090203","0.640134"
"000002","万科A","2025-06-30","B","0","",""
"000002","万科A","2025-09-30","A","0","18.236842","1.002314"
"000002","万科A","2025-12-31","A","0","26.481563","1.454233"
"000002","万科A","2025-12-31","B","0","",""
"000002","万科A","2026-03-31","A","0","2.869666","0.208830"
"000004","国农科技","2019-12-31","A","0","0.742593","1.339469"
"000004","国农科技","2019-12-31","B","0","",""
"000004","国农科技","2020-03-31","A","0","0.089389","0.149199"
"000004","国农科技","2020-03-31","B","0","",""
"000004","国农科技","2020-06-30","A","0","0.203484","0.469888"
"000004","国农科技","2020-06-30","B","0","",""
"000004","国农科技","2020-09-30","A","0","0.495162","0.860870"
"000004","国农科技","2020-09-30","B","0","",""
"000004","国华网安","2020-12-31","A","0","0.968174","2.185941"
"000004","国华网安","2020-12-31","B","0","",""
"000004","国华网安","2021-03-31","A","0","0.107064","0.336489"
"000004","国华网安","2021-03-31","B","0","",""
"000004","国华网安","2021-06-30","A","0","0.291380","1.449664"
"000004","国华网安","2021-06-30","B","0","",""
"000004","国华网安","2021-09-30","A","0","0.456180","1.382737"
"000004","国华网安","2021-12-31","A","0","0.842601","3.157189"
"000004","国华网安","2021-12-31","B","0","",""
"000004","国华网安","2022-03-31","A","0","0.031568","0.085381"
"000004","ST 国华","2022-06-30","A","0","0.065345","0.189399"
"000004","ST 国华","2022-06-30","B","0","",""
"000004","ST 国华","2022-09-30","A","0","0.239895","0.673730"
"000004","ST 国华","2022-12-31","A","0","0.494227","1.246168"
"000004","ST 国华","2022-12-31","B","0","",""
"000004","ST 国华","2023-03-31","A","0","0.071249","0.081810"
"000004","国华网安","2023-06-30","A","0","0.109665","0.121401"
"000004","国华网安","2023-06-30","B","0","",""
"000004","国华网安","2023-09-30","A","0","0.280261","0.216194"
"000004","国华网安","2023-12-31","A","0","0.454340","0.461813"
"000004","国华网安","2023-12-31","B","0","",""
"000004","国华网安","2024-03-31","A","0","0.085996","0.030043"
"000004","国华网安","2024-06-30","A","0","0.206932","0.078832"
"000004","国华网安","2024-06-30","B","0","",""
"000004","国华网安","2024-09-30","A","0","0.429278","0.222217"
"000004","国华网安","2024-12-31","A","0","0.758616","0.241180"
"000004","国华网安","2024-12-31","B","0","",""
"000004","国华网安","2025-03-31","A","0","0.235667","0.071653"
"000004","*ST 国华","2025-06-30","A","0","0.402946","0.123396"
"000004","*ST 国华","2025-06-30","B","0","",""
"000004","*ST 国华","2025-09-30","A","0","0.816846","0.195753"
"000004","*ST 国华","2025-12-31","A","0","1.477080","0.276387"
"000004","*ST 国华","2025-12-31","B","0","",""
"000004","*ST 国华","2026-03-31","A","0","0.119143","0.025293"
"000006","深振业A","2019-12-31","A","0","317.618844","2.669625"
"000006","深振业A","2019-12-31","B","0","15.348133","0.783429"
"000006","深振业A","2020-03-31","A","0","39.998512","0.471062"
"000006","深振业A","2020-03-31","B","0","1.605907","0.164331"
"000006","深振业A","2020-06-30","A","0","68.667417","0.951404"
"000006","深振业A","2020-06-30","B","0","5.145926","0.381110"
