"Stkcd","ShortName","Accper","Typrep","Source","F070101B","F070201B"
"000002","万科A","2019-12-31","A","0","1.074941","1.050070"
"000002","万科A","2019-12-31","B","0","1.074541","1.000000"
"000002","万科A","2020-03-31","A","0","1.471233","1.000000"
"000002","万科A","2020-03-31","B","0","","1.000000"
"000002","万科A","2020-06-30","A","0","1.125107","1.070121"
"000002","万科A","2020-06-30","B","0","1.068988","1.000000"
"000002","万科A","2020-09-30","A","0","1.114664","1.000000"
"000002","万科A","2020-09-30","B","0","1.110807","1.000000"
"000002","万科A","2020-12-31","A","0","1.064576","1.057306"
"000002","万科A","2020-12-31","B","0","1.146726","1.000000"
"000002","万科A","2021-03-31","A","0","1.386720","1.000000"
"000002","万科A","2021-03-31","B","0","10.907753","1.000000"
"000002","万科A","2021-06-30","A","0","1.079128","1.107334"
"000002","万科A","2021-06-30","B","0","1.067886","1.000000"
"000002","万科A","2021-09-30","A","0","1.100642","1.000000"
"000002","万科A","2021-12-31","A","0","1.083945","1.096844"
"000002","万科A","2021-12-31","B","0","1.104389","1.000000"
"000002","万科A","2022-03-31","A","0","1.338423","1.000000"
"000002","万科A","2022-06-30","A","0","1.009184","1.133788"
"000002","万科A","2022-06-30","B","0","1.060592","1.000000"
"000002","万科A","2022-09-30","A","0","1.031805","1.000000"
"000002","万科A","2022-12-31","A","0","1.049921","1.126259"
"000002","万科A","2022-12-31","B","0","1.085321","1.000000"
"000002","万科A","2023-03-31","A","0","1.292272","1.000000"
"000002","万科A","2023-06-30","A","0","1.116260","1.155681"
"000002","万科A","2023-06-30","B","0","1.086285","1.000000"
"000002","万科A","2023-09-30","A","0","1.096383","1.000000"
"000002","万科A","2023-12-31","A","0","1.124636","1.201775"
"000002","万科A","2023-12-31","B","0","1.230986","1.000000"
"000002","万科A","2024-03-31","A","0","2.561775","1.000000"
"000002","万科A","2024-06-30","B","0","1.211791","1.000000"
"000002","万科A","2025-06-30","B","0","1.138816","1.000000"
"000004","国农科技","2019-12-31","A","0","0.724103","1.961249"
"000004","国农科技","2019-12-31","B","0","0.962805","1.000000"
"000004","国农科技","2020-03-31","A","0","0.959915","1.000000"
"000004","国农科技","2020-06-30","A","0","0.779266","1.821645"
"000004","国农科技","2020-09-30","A","0","0.972203","1.000000"
"000004","国华网安","2020-12-31","A","0","0.997448","1.108185"
"000004","国华网安","2021-03-31","A","0","1.003826","1.000000"
"000004","国华网安","2021-06-30","A","0","0.988196","1.589028"
"000004","国华网安","2021-09-30","A","0","0.979382","1.000000"
"000004","*ST 国华","2025-12-31","A","0","0.978191","1.483641"
"000006","深振业A","2019-12-31","A","0","1.115720","1.036078"
"000006","深振业A","2019-12-31","B","0","1.127008","1.000000"
"000006","深振业A","2020-03-31","A","0","1.188244","1.000000"
"000006","深振业A","2020-03-31","B","0","","1.000000"
"000006","深振业A","2020-06-30","A","0","1.235621","1.059145"
"000006","深振业A","2020-06-30","B","0","","1.000000"
"000006","深振业A","2020-09-30","A","0","1.175328","1.000000"
"000006","深振业A","2020-09-30","B","0","1.815661","1.000000"
