,equity_rev,trade_rev,trade,bid_rev,equity,legal_rep_rev,same_industry,involved_in_rev,involved_in,legal_rep,bid
equity_rev,0.93720824,0.006329435,0.0062444382,0.006215193,0.0062706484,0.006226373,0.006291767,0.0062437477,0.0062838965,0.006381271,0.0063050026
trade_rev,0.006200176,0.9374991,0.0061373757,0.0063119354,0.0062065595,0.00613962,0.00628111,0.006335401,0.0063205375,0.006331481,0.0062368345
trade,0.006480959,0.0066010808,0.9349993,0.0065710326,0.006475621,0.0064015663,0.006551635,0.006349484,0.006516347,0.006517441,0.006535628
bid_rev,0.0063667875,0.006408449,0.0063053085,0.93623483,0.006174967,0.0063528465,0.0065605487,0.0062984964,0.0064667445,0.006466368,0.0063647022
equity,0.0063772346,0.006450312,0.006419579,0.0063539688,0.93567127,0.0063914726,0.0065057217,0.0064314734,0.0064414972,0.006495802,0.006461724
legal_rep_rev,0.006543702,0.006513418,0.0064541847,0.0064429794,0.006380275,0.9351599,0.0065565547,0.006386469,0.006499615,0.0065444103,0.0065184985
same_industry,0.0063968785,0.006133561,0.0061783316,0.0062257615,0.006245823,0.005962865,0.9382841,0.0060119997,0.0060463753,0.0062855002,0.0062286984
involved_in_rev,0.0063366955,0.0064007174,0.006447103,0.006523855,0.006327957,0.006399298,0.0065439567,0.9357445,0.0064592725,0.0063816123,0.00643506
involved_in,0.0062994743,0.0061263805,0.006079386,0.0061874604,0.0060324552,0.006137453,0.0061641987,0.0060767457,0.93868077,0.0061195605,0.006096103
legal_rep,0.0060759853,0.0060280086,0.0060953465,0.006181753,0.006021777,0.0060611954,0.005972127,0.0060558855,0.005973349,0.9395574,0.0059771696
bid,0.0062636724,0.006236674,0.006119762,0.0061225323,0.006066353,0.006195627,0.0062258854,0.0061232354,0.0061667305,0.0062282695,0.93825126
